"commentId";"textOriginal";"authorDisplayName";"videoId";"publishedAt"
"Ugw_ngUw015JpPhZisJ4AaABAg";"筱君姐 新年快樂 ❤台灣人站出來 恢復國會正常運作 把親共立委趕出去";"@dudu1990-ky";"1-K1dVyrBrA";"2025-01-26 17:59:25"
"Ugw_nkvKiUOEQ1AnsQ94AaABAg";"蔣萬安，為了自身在國民黨的權位，忘祖背宗！連自己的祖父（蔣經國）跟曾祖父（蔣中正）一生致力的反共、唾棄舔共者的終身遺志都背其道而行…
我們相信這真的是致力於台灣建設的前總統蔣經國先生一輩子最大的憤怒！如果蔣經國先生還在世的話，一定會痛恨死這些背棄他終身致力推動台灣民主的國民黨叛徒們！
我相信他如果還能在世有能力的話，一定會將這個僞蔣家後代的、原名章萬安的舔共後代，逐出蔣家的宗的！
也許在全台立委大罷免之後，就是罷免僞蔣的章萬安市長下台的一天！！
希望台灣的年輕民主派站起來、硬起來！全民都將僞國民黨的舔共不反共的國民黨敗類轟下台！！
讓僞孫的章萬安下台，用它虛偽的蔣萬安的名字，讓他下架！送他去對岸共產黨當他的共產黨政協委員吧！！
台灣人民動起來！守護我們的民主❤，把僞善僞蔣僞國民黨的虛偽人士，驅逐送回他們一心傾向的共產國家領土千萬不要讓他們的私心權利慾望，把民主的台灣淨土染紅！！
台灣的民主自由台灣人民自己救！我們發起罷免僞蔣的章萬安，守護台灣自由民主全球性的價值！🎉";"@城市遊警";"_2xa1YsdzGs";"2025-01-31 16:32:32"
"Ugw_O6rFXXxjlQT_CFd4AaABAg";"世上有人发明使用水来驱动发动机吗？有，目前就是这视频里的几个人咯！lol。。。";"@jdcamane1571";"1YAadTWkMzo";"2025-01-31 07:55:02"
"Ugw_OjK5c34gCkEgrKB4AaABAg";"6:13 怡萱罵的好可愛😂期待中正萬華等你選";"@KP-hc7cu";"8aI7yg0_rlQ";"2025-01-24 09:23:40"
"Ugw_oQ0lKSBBx2KSxrx4AaABAg";"跪著給他捧斗，送上山頭";"@changhuang6498";"CV2F9iC1Pkg";"2025-02-01 05:39:38"
"Ugw_ovckv7c1RME3cGZ4AaABAg";"罷免賴清德";"@黃靜蓮-g2g";"-XAneG3kOs8";"2025-01-31 17:04:17"
"Ugw_p4RumubLwt6xuw14AaABAg";"放屁話一大堆";"@楊桂美-e8x";"ESIzJY_bN5k";"2025-02-02 06:13:43"
"Ugw_pcYPkrDWrJiPMnd4AaABAg";"這次罷免 國民黨你把 民眾 惹火";"@怨-d5t";"9pbjMTORhVg";"2025-01-30 05:18:07"
"Ugw_QON0Xo_iphO7EDp4AaABAg";"民众集体三退：还没有看过《九评》的人快快去找，勿错失机缘。
重庆民众唐道平、陈佰光、小陈、小肖 等 17人声明三退，他们说：“我们被中共独裁欺骗、洗脑、毒害了几十年。在这样一个社会环境里生存的人，要想辨别是非，善恶分明，要想有天赐给人的生存必有条件和自由，太难了。这是生存在中共独裁下的人们最终的感慨吧了！ ”

《九评》揭开中共的骗人伎俩，让大家找到了希望。他们强调：“天无绝人之路，《九评共产党》把中共邪恶党的画皮给拨开了。看看它们一直高唱的，一切为人民的欺世大谎，它们的本质到底是什么货色！只有这个唯一的抉择。永远彻底脱离中共邪恶怪物，退岀中共为维持生存的基因：党团队！才有光明的未来。”

最后，他们呼吁：“希望还没有看过《九评》的可怜人啊！快快去找，不要错过这稍纵即逝的机缘，切记啊！朋友们！ ”

三退民众：传播《九评共产党》 劝三退  是开启中华复兴的新希望
说起中共的种种恶行，“山庄隐士”指出：“共产党是魔鬼邪灵附体的邪教组织，强拆寺庙、挖祖坟、砸佛像、活摘器官、迫害各种宗教信仰，什么缺德干什么。我从来不喜欢共产党，它强迫学生从小加入邪党团队组织，裹挟全国人民对抗西方自由世界，把中国拖进贫穷与战争泥潭。”

他强调：“三退是一项利国利民的好事，传播《九评共产党》与劝化广大人民三退脱离邪党团队组织，是开启中华复兴的新希望。 我声明退团队。”

来自大连的王勇在退团声明中表示：“我的童年是悲惨的 ，因为父母被打成右派，到了上学的年龄，同学们说我是反革命，往我身上吐痰。那时我不知道生活为什么对我如此残酷。一晃几十年了，心灵的创伤使我对人生没有希望。”

直到有一天，王勇看到了《九评共产党》，他表示：“我恍然大悟，原来如此。由于心情太激动，要说的话太多太多。我要告诉全天下的正义之士，快看《九评》，退出共产邪党的所有相关组织，生命才有保障。”";"@asdfghjkwesdfcvgh";"HfuayeaSGi4";"2025-01-29 16:42:39"
"Ugw_RCzT7wJf0srZLGl4AaABAg";"過好年盡量不要打擾民眾？你他媽放台中三傻搞一堆垃圾提案亂刪預算，已經天怒人怨了，你說別打擾？等罷免吧!中部特盧不要以為你當市長就沒事，你趴低一點比較不會中槍，我們新竹是一次罷免立委和市長，連署票數都已經超過第二階段門檻了，現在就是等中選會驗第一階段，過60天後再跑第二階段，等於我們新竹市民就是等時間直接要參與第三階段投票了";"@ETWU-cx6jh";"9pbjMTORhVg";"2025-02-01 11:32:15"
"Ugw_Rju7SzTvhJdDFFB4AaABAg";"連署書數量就是人民怒火的出口";"@哈士奇-y4y";"dQsng5Md9nE";"2025-02-02 05:08:40"
"Ugw_RV6dkoRpG6Raqq14AaABAg";"罷免加油";"@asz19730311";"dQsng5Md9nE";"2025-01-31 23:00:07"
"Ugw_s3P88QFDCirIaEd4AaABAg";"數發部沒用的單位刪了剛好。廢掉最好";"@tonych2082";"3RnS1xisw00";"2025-01-24 22:32:27"
"Ugw_Sjq7rbSqgQaQ_xN4AaABAg";"我完全認同台灣蔡總統這幾年真的撐過疫情又帶著經濟往上衝；
不過建議比對2015年和2024年這將近10年差距的出口，不要拿絕對數字來比較，無視通膨影響的數字對比有種詐欺感 (當然2024真的表現好)；
這樣子的比較模式會飄出在野立院亂砍預算後說我數字只砍一點點的那種臭味。";"@chentsangyi";"zylZNgjohsc";"2025-02-01 06:09:54"
"Ugw_t_HT6DwoSKgk4Zp4AaABAg";"罷免民進黨所有立委";"@任-j5y";"dQsng5Md9nE";"2025-01-31 11:37:57"
"Ugw_t2ot31cF1pqT-QB4AaABAg";"民進黨立委 不監督政府 還在護航 有虧職責。還在講藍白立委 不負責任。一堆政府機關在放一堆謠言。講一些沒道理沒邏輯的話騙老百姓 當笨人民是笨蛋嗎？ 要放謠言也要一點邏輯跟證據 好嘛！";"@偉濱林";"-zX-hd4Y5Lg";"2025-01-27 00:16:06"
"Ugw_tIfFTX-bhJUG5Nd4AaABAg";"議員講KP的衰敗講到嘴角都上揚了，真的感到可悲
賴神會不會干預司法，簡單的例子就是賴皮寮.......不過川普也特赦所有違法入侵國會的支持者，也是讓人匪夷所思，民主還是民主嗎?";"@jaster1203";"nll7UBHfDY0";"2025-01-29 09:33:39"
"Ugw_un9r8icsKuy9B4l4AaABAg";"应该叫南朝鲜😊";"@张角-t5v";"WQnvcFR-zoQ";"2025-01-27 07:41:40"
"Ugw_UTIAUsjdgJgYfON4AaABAg";"05:00 説什麽呢，執政黨什麽時候要用罷免了...罷免是我們民衆自願出來的...";"@FunnyCode-o7v";"7M6nILu6x80";"2025-01-30 16:17:45"
"Ugw_uyeRk24wCXDpj6V4AaABAg";"國民黨那個人""窮?  每個人身價億單位";"@林韋廷-k5v";"ZxFJpgIPQ-E";"2025-02-02 01:42:21"
"Ugw_VH6fsEsIa4THGGt4AaABAg";"移工究責? 營業店家有符合相關消防法規嗎? 燒烤店 好像沒見過那家有放置滅火器的  
難道滅火器都隱藏在角落?
那些長期不處理移工問題的 相關單位 不管是 移民署 還是警察 不用究責嗎?
要不是他們瀆職 怠惰  或者被利益收買  會有這麼多發法移工在外面製造問題? 

如果相關失職 人員 不究責的話  憑甚麼納稅錢養這些人? 因為他們都有黨政嗎";"@孫志鴻-c1m";"t4nXlZ2UTEg";"2025-02-02 01:04:52"
"Ugw_VYQLEP0CnP8j0Rx4AaABAg";"罷免真的要成功！否則這些中共同路人（對！包括蔣萬安，他現在都可以動用公權力驅趕罷團！有這樣的市長，我就不知道台北市民怎麼想）只會越來越囂張！等著，越到後面越會行使公權力打壓這些罷團公民";"@怡-o9x";"KHVD9thPt3A";"2025-02-01 11:28:41"
"Ugw_WoNRCThw24xQQxZ4AaABAg";"觀看次數很驚人";"@chingwenhsu";"8aI7yg0_rlQ";"2025-01-24 16:11:18"
"Ugw_XcPht2UMh3ry8LJ4AaABAg";"應該100%罷免國民黨立委🎉🎉🎉😊😊⋯⋯";"@JamesROO-f1q";"RuaLuQqXDKw";"2025-01-29 01:12:21"
"Ugw_XSI8afRx575bG7x4AaABAg";"綠色側翼綠憨真丟臉...51席民進黨立委就是沒用啊!!輸人就要罷免...賴清德一起罷免啊!!";"@ms-er9mm";"-zX-hd4Y5Lg";"2025-01-29 08:17:49"
"Ugw_Xyn6uLrN7s6GrpB4AaABAg";"印像公寓新台五路二段93號21樓之2故意吵死人滾出去印象公寓魔音干擾
有住戶得憂慮症
告死他們告死他們
歐巴桑總幹事國民黨故意擺爛
還有總幹事故意管理費單子弄髒故意欺負住戶
新北市汐止區
報警”””””””””“”””””””””””””””””””””””””””";"@王軒亭";"6Nt_U0j0sDs";"2025-02-01 02:20:57"
"Ugw_yG7J0-wSmY94Zc14AaABAg";"積德啊！菩薩啊！";"@yeshai288";"7VRycB7Iqms";"2025-01-29 18:22:16"
"Ugw_YgKm_eVyiN8OJ9R4AaABAg";"罷免綠委，
我投一票";"@陳建平-n6w";"dQsng5Md9nE";"2025-01-31 15:13:20"
"Ugw_ZYwQcTBdGIyOK1F4AaABAg";"台灣精神的展現！保護台灣黑熊568的努力是科學，耐心，人道關懷，悲憫心的大結合！";"@sli8329";"6A724ibZ5bI";"2025-01-30 00:29:26"
"Ugw-_HNnTBclj2h7pal4AaABAg";"第三點剛好也是我在想的，哈哈哈哈";"@eggrollin";"7M6nILu6x80";"2025-01-29 12:20:42"
"Ugw--KIq3CB2NHWKsPl4AaABAg";"最毒婦人心！😱";"@ChingjuYang-cs4qv";"6WRDWxSPN8U";"2025-02-02 01:03:54"
"Ugw--mnIb-uwgGvf5EN4AaABAg";"賴清德只聽鄉愿不得罪人、只想當好人的卓榮泰之言，之前青鳥行動就聽到卓榮泰自挫自家人士氣，為了行政立法和諧請青鳥們不要來聚集的呼籲，這種壞人請別人來當、罷免若成功請支持我的心態，罷免將是艱難的任務，不論罷免有沒有成功，卓榮泰都應該在今年520之後辭職。";"@wengwaynejay5315";"7M6nILu6x80";"2025-01-31 09:13:24"
"Ugw-1_itzLlU3OEwO1R4AaABAg";"真的是瘋子的集合";"@kathy3922";"-zX-hd4Y5Lg";"2025-01-25 08:20:45"
"Ugw-1H2orQIzg10a2vt4AaABAg";"斯坦 新年快樂";"@alicehuangofficialchannel8416";"4E5nv9ux3gs";"2025-01-30 23:08:07"
"Ugw-2CUg_bClEvftZ3h4AaABAg";"人民素質是關鍵";"@說人話-u7h";"-XAneG3kOs8";"2025-01-30 08:37:07"
"Ugw-2tyvBTwStyZqPFZ4AaABAg";"側翼~~集結！！
還在那邊假中立
笑屎燈泡都冷了";"@yuantian7553";"-zX-hd4Y5Lg";"2025-01-26 04:04:02"
"Ugw-4RSLC_KDeFM37tZ4AaABAg";"抄完中国字中国节中国方言又开始抄袭中国的神灵了？";"@feifei1999CN";"1Mu2ZXH7Jfs";"2025-01-30 13:26:32"
"Ugw-5-CvtXS0V75aggd4AaABAg";"連過年都不讓人好好過了?還在搞政治?😮";"@林定鴻-y4c";"9pbjMTORhVg";"2025-01-27 07:51:24"
"Ugw-6WVQEomdEPmR3jd4AaABAg";"蔣萬安，請搞清楚
立法院長是韓國瑜，是國民黨當家好嗎？";"@唐金山";"_2xa1YsdzGs";"2025-02-01 00:16:43"
"Ugw-7aV2E8erPyKVFDx4AaABAg";"日本韓國國家風氣就這樣 霸凌致死的事件沒少過";"@hata5860";"6WRDWxSPN8U";"2025-02-01 13:54:04"
"Ugw-9opQGeg9SJ_F7z14AaABAg";"難道卓榮泰和中共有私通嗎？不然牠怎麼知道？無恥！";"@lanateng6403";"3RnS1xisw00";"2025-01-24 08:25:49"
"Ugw-9qBAGjMnBofH2ZN4AaABAg";"00:34 什麼時候“偷渡”從媒體口中說出，聽起來都可以如此名正言順？這世界已經瘋了😂😂😂";"@tn00323801";"BmDtkv9MqoU";"2025-01-31 10:16:25"
"Ugw-AhGA5noqso1Eqz94AaABAg";"羅伯特醫生雖然眼睛有一點點一點點的斗
但絕對的是養眼的那種帥氣";"@przhang";"h6Iq16pXTKg";"2025-01-31 15:51:22"
"Ugw-ajbnhUE5BnlK7yt4AaABAg";"你講殺小  你板橋跑去台中亂殺小   不只愛亂凹還雙標";"@一袋米要扛幾樓-d8j";"Uw5SIAmd524";"2025-01-28 05:19:59"
"Ugw-B9Mjmeuy2lz0FGF4AaABAg";"台灣再給白藍亂下去就變共産的統制";"@李拱勳";"RuaLuQqXDKw";"2025-01-29 00:44:57"
"Ugw-btkoxw5Zw1_JL6d4AaABAg";"辛苦了志工人員、向罷免人員致上最高敬意！
臺灣民主加油🎉🎉🎉
臺灣尚勇💪💪💪";"@黃基德-i6z";"0Am-j_nAh9A";"2025-01-28 07:31:37"
"Ugw-bvDP8n1EQT6O3Hh4AaABAg";"如果中共侵台，第一件事便是把慈湖陵寢拆了！國民黨希望嗎？朱主席不用每年去...😂";"@徐慕晨";"KHVD9thPt3A";"2025-02-01 12:18:32"
"Ugw-C6u9YrXOlFuaRih4AaABAg";"赖政府有2.9兆的预算比蔡英文还多了近1兆却一天到晚喊没钱，不外是是因为蓝白两党将他们保留给绿媒网红黑熊等人的酬庸费全给删了，这才是令他们气得暴跳如雷狗急跳墙的原因。";"@ACTio-i4m";"8aI7yg0_rlQ";"2025-01-25 04:47:37"
"Ugw-CF1EiC0-VIjMu494AaABAg";"加油高雄立委全罷掉";"@phlin3579";"-zX-hd4Y5Lg";"2025-01-26 22:56:46"
"Ugw-Cip-8zytlf8EwQx4AaABAg";"么过就像做生意失败的商人，听到任何风吹草动就如惊弓之鸟歇斯底里，哈哈😅";"@chinatravel1314";"p4A62A8xNVw";"2025-01-30 02:46:24"
"Ugw-cUgSYgQ7Jpxglxt4AaABAg";"在野年前壓線送法案""根本沒講內容"" 卓榮泰不爽道:旁門左道
牴觸狀世代的衛福部官員被刪費用???民眾黨吳春成無恥
立法院兩個中指女妖--900心+王X威,雙罷後就是雙殺---不用再選了--沒機會了
台灣人自己救台灣，消滅紅委吳春成---無恥自稱是紳士.吃盡嘉義標案?????凍結國發會預算遭疑涉圖利 吳沛憶點名""壯世代拿很多標案"" 吳春城氣炸拍桌吳沛憶理論,,,,想打人喔???   
 傅崑萁只為交代任務--習近平交辦的任務,,,,傅崑萁只是被王滬寧摸頭的小弟 
黃國昌不要臉以為自己是老大?拿人民的錢惡意刪除要脅要全部人員向你跪求?這是共產黨做法,  
藍白惡劣3步曲:1.黨總預算2.刪預算3.搶錢自肥--- 藍白違憲亂政,,刪預算3700億?????
傅崑其盜470億到大陸??? 朱立倫主席管不住?無能-下台";"@salytsai488";"zdXC9xGQCi0";"2025-01-31 05:00:21"
"Ugw-d-B7VSL-iNDGmEF4AaABAg";"惡業自會降臨惡人";"@陳玉英-g1j";"zYVi-Qopv6k";"2025-01-30 05:10:25"
"Ugw-djK3x1XM2jD6NF94AaABAg";"你們這些外省仔名嘴長期欺負台灣人？還要編故事騙台灣人嗎？不要大吼大叫臭屁什麼東西";"@文郎-m4j";"ZxFJpgIPQ-E";"2025-02-02 01:58:30"
"Ugw-dUGNsZq-DnGny3B4AaABAg";"恐怕還沒消除DE I，川普自己命是否保得住也成問題，虽然有道理，但侵犯太多人的利益了！希望不要發生。很難！";"@passer-by5966";"vBNggH2F7UI";"2025-02-02 00:51:36"
"Ugw-eDbE5Kzth4yuMXp4AaABAg";"尊敬伯伯們的明白事理, 也把國民黨看得透徹, 正確的理念, 很讚. 👍👍";"@kwlee3718";"KHVD9thPt3A";"2025-02-01 13:39:15"
"Ugw-EZy4Jae_X85NtQ14AaABAg";"公視真糟還 想要更多的錢拍爛劇 真是太離譜了";"@anneanne-p8d";"v9gGtTV9z3E";"2025-01-31 00:34:18"
"Ugw-F0-oqVSNTwpQWcd4AaABAg";"🎉";"@raychen9686";"5ji5n2WrwxU";"2025-01-27 06:26:15"
"Ugw-FQpZijzaPVg7cCZ4AaABAg";"港湖除銹 罷免李彥秀 就是罷免傅崑萁 就是罷免習近平
山除薇害 罷免王鴻薇 就是罷免傅崑萁 就是罷免習近平
罷免共匪王鴻薇 罷免中國人大藍委 剿匪大罷免救台灣 阿罷之阿罷之";"@hss2107";"zVRyA3svqTI";"2025-02-01 14:06:05"
"Ugw-gn2hgCZ0SNkBUz94AaABAg";"民進黨 完完全全就是
「由奢入儉難」～";"@歪姊-d1x";"8aI7yg0_rlQ";"2025-01-24 14:52:44"
"Ugw-gqnGlkMX9V779TF4AaABAg";"可悲 必須去看醫生😊";"@躍-n3b";"Xl0IRrnmbIw";"2025-01-30 17:32:30"
